Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Argentina,2022,Total,Male,Bahía Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,153189.750059241,4
Argentina,2022,Total,Male,BUENOS AIRES,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,7674541.98703731,4
Argentina,2022,Total,Male,Catamarca,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,110727.744397931,4
Argentina,2022,Total,Male,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,126116.386464989,4
Argentina,2022,Total,Male,Concordia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,79497.3722102223,4
Argentina,2022,Total,Male,Córdoba,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,760499.990643591,4
Argentina,2022,Total,Male,Corrientes,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,184548.111084561,4
Argentina,2022,Total,Male,Formosa,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,123837.251840549,4
Argentina,2022,Total,Male,La Plata,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,446027.837811747,4
Argentina,2022,Total,Male,La Rioja,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,112924.335028921,4
Argentina,2022,Total,Male,San Luis - El Chorrillo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,119169.626626774,4
Argentina,2022,Total,Male,Mar del Plata-Batán,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,315486.611133803,4
Argentina,2022,Total,Male,Mendoza,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,505306.036386548,4
Argentina,2022,Total,Male,Neuquén-Plottier,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,155122.904293398,4
Argentina,2022,Total,Male,Paraná,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,135607.960654795,4
Argentina,2022,Total,Male,Posadas,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,182790.390371721,4
Argentina,2022,Total,Male,Rawson-Trelew-Playa Unión,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,72465.1388126441,4
Argentina,2022,Total,Male,Resistencia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,201497.870409907,4
