name,team,games,category,desc.,year,source
F. Davis,WAS,Indef.,"Substance abuse, repeated offense",Marijuana-related,2014,http://www.cbssports.com/nfl/eye-on-football/24448694/redskins-te-fred-davis-suspended-Indefiniteinitely-by-nfl
J. Blackmon,JAX,Indef.,"Substance abuse, repeated offense",,2014,http://espn.go.com/nfl/story/_/id/11257934/justin-blackmon-jacksonville-jaguars-arrested-marijuana-possession
L. Brazill,IND,Indef.,"Substance abuse, repeated offense",,2014,http://www.nfl.com/news/story/0ap2000000364622/article/lavon-brazill-released-by-colts-in-wake-of-suspension
T. Jackson,WAS,Indef.,"Substance abuse, repeated offense",,2014,http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl
M. Hapes,NYG,Indef.,Personal conduct,Gambling-related,1946,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
R. Rice,BAL,Indef.,Personal conduct,Domestic violence,2014,http://espn.go.com/new-york/nfl/story/_/id/11489134/baltimore-ravens-cut-ray-rice-new-video-surfaces
F. Filchock,NYG,36,Personal conduct,Gambling-related,1947,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
J. Jolly,GB,32,"Substance abuse, repeated offense","Arrest, felony possession of codeine",2010,http://www.nfl.com/news/story/0ap1000000145928/article/johnny-jolly-reinstated-by-nfl-after-Indefiniteinite-suspension
O. Thurman,CIN,32,"Substance abuse, repeated offense",,2008,http://www.nfl.com/news/story/09000d5d80864644/article/bengals-release-reinstated-thurman-after-twoyear-suspension
A. Jones,TEN,20,Personal conduct,Multiple arrests,2007,http://sports.espn.go.com/nfl/news/story?id=2832015
A. Schlichter,IND,16,Personal conduct,Gambling-related,1983,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
D. Stallworth,NE,16,Personal conduct,DUI manslaughter,2009,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
W. Bryant,ARI,16,"Substance abuse, repeated offense",,2005,http://www.azcentral.com/sports/cardinals/articles/2009/05/13/20090513cards0514.html
J. Evans,TEN,16,"Substance abuse, repeated offense",,2000,http://articles.philly.com/2000-06-21/sports/25602268_1_linebacker-george-koonce-linebacker-na-il-diggs-draft
T. Jackson,TB,16,"Substance abuse, repeated offense",,2012,http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl
D. Washington,ARI,16,"Substance abuse, repeated offense",Marijuana-related,2014,http://www.nfl.com/news/story/0ap2000000354739/article/daryl-washington-suspended-for-at-least-one-year
B. Williams,PHI,16,"Substance abuse, repeated offense",Marijuana-related,2001,http://articles.philly.com/2001-04-05/sports/25330303_1_training-camp-eagles-marijuana
R. Williams,MIA,16,"Substance abuse, repeated offense",,2006,http://sports.espn.go.com/nfl/news/story?id=2421774
S. Wilson,CIN,16,"Substance abuse, repeated offense",Cocaine-related,1989,http://www.enquirer.com/editions/1999/01/31/spt_hard_fall_for_man.html
J. Gordon,CLE,16,"Substance abuse, repeated offense",Marijuana-related,2014,http://espn.go.com/nfl/story/_/id/11418388/josh-gordon-cleveland-browns-suspended-one-year
O. Smith,MIN,16,"Substance abuse, repeated offense","Found with dried urine and ""The Original Whizzinator""",2005,http://sports.espn.go.com/nfl/news/story?id=2079032
K. Robinson,GB,16,"Substance abuse, repeated offense",,2006,http://sports.espn.go.com/nfl/news/story?id=2629860
