storenum,OPENDATE,date_super,conversion,st,county,STREETADDR,STRCITY,STRSTATE,ZIPCODE,type_store,LAT,LON,MONTH,DAY,YEAR
123,6/1/75,10/29/03,1,40,133,1500 E. WRANGLER BLVD,Seminole,OK,74868,Supercenter,35.249655,-96.65915,6,1,1975
124,3/1/75,3/1/99,1,5,119,8801 BASELINE ROAD,Little Rock,AR,72209,Supercenter,34.674192,-92.35557,3,1,1975
125,4/1/75,3/1/99,1,5,131,2425 SOUTH ZERO ST,Fort Smith,AR,72901,Supercenter,35.373791,-94.41371,4,1,1975
130,7/1/75,8/25/04,1,40,101,1000 WEST SHAWNEE ST,Muskogee,OK,74403,Supercenter,35.719962,-95.33691,7,1,1975
131,11/1/75,3/1/90,1,48,449,2311 SOUTH JEFFERSON,Mt. Pleasant,TX,75455,Supercenter,33.166739,-94.9814,11,1,1975
60,3/1/75,3/1/96,1,29,113,101 HWY 47 EAST,Troy,MO,63379,Supercenter,38.991916,-90.98649,3,1,1975
118,4/1/76,3/1/93,1,28,95,1515 US HWY 278 EAST,Amory,MS,38821,Supercenter,33.988235,-88.46783,4,1,1976
120,3/1/76,,,47,53,2716 NORTH CENTRAL AVENUE,Humboldt,TN,38343,Wal-Mart,35.825299,-88.90218,3,1,1976
136,4/1/76,,,40,71,1219 WEST DOOLIN,Blackwell,OK,74631,Wal-Mart,36.800787,-97.29289,4,1,1976
137,10/1/76,3/1/94,1,40,119,111 NORTH PERKINS ROAD,Stillwater,OK,74075,Supercenter,36.149394,-97.05784,10,1,1976
147,7/1/76,3/1/95,1,48,181,401 NORTH US HWY 75,Denison,TX,75020,Supercenter,33.754053,-96.57867,7,1,1976
139,7/1/76,,,40,87,1620 NORTH GREEN AVENUE,Purcell,OK,73080,Wal-Mart,35.017656,-97.39646,7,1,1976
150,10/1/76,3/1/98,1,40,153,3215 WILLIAMS AVENUE,Woodward,OK,73801,Supercenter,36.433665,-99.40838,10,1,1976
126,3/1/76,,,5,119,700 SOUTH BOWMAN BLV,Little Rock,AR,72211,Wal-Mart,34.749723,-92.41345,3,1,1976
127,2/1/76,4/13/05,1,5,59,1910 MARTIN LUTHER KING BLVD,Malvern,AR,72104,Supercenter,34.364093,-92.8146,2,1,1976
148,6/1/76,3/1/96,1,48,277,3855 LAMAR AVENUE,Paris,TX,75460,Supercenter,33.660274,-95.55958,6,1,1976
101,2/1/76,3/1/94,1,29,161,500 SOUTH BISHOP,Rolla,MO,65401,Supercenter,37.94384,-91.77105,2,1,1976
99,2/1/76,3/1/95,1,29,71,1445 E CENTRAL,Union,MO,63084,Supercenter,38.434806,-91.00353,2,1,1976
146,3/1/76,3/1/97,1,48,459,1923 NORTH WOOD,Gilmer,TX,75644,Supercenter,32.727128,-94.9577,3,1,1976
145,10/1/76,,,29,163,3310 W GEORGIA STREET,Louisiana,MO,63353,Wal-Mart,39.449012,-91.07518,10,1,1976
144,9/1/76,3/1/94,1,5,143,2875 WEST 6TH STREET,Fayetteville,AR,72704,Supercenter,36.096998,-94.2486,9,1,1976
143,6/1/76,3/1/00,1,21,157,310 WEST 5TH STREET,Benton,KY,42025,Supercenter,36.854812,-88.33515,6,1,1976
142,5/1/76,,,48,387,2204 HWY 82 WEST,Clarksville,TX,75426,Wal-Mart,33.626445,-95.03534,5,1,1976
140,9/1/76,7/17/02,1,48,5,2500 DANIEL MCCALL DRIVE,Lufkin,TX,75901,Supercenter,31.330567,-94.68667,9,1,1976
141,5/1/76,3/1/97,1,5,131,8301 ROGERS AVENUE,Fort Smith,AR,72903,Supercenter,35.357041,-94.36914,5,1,1976
132,2/1/76,,,40,73,1213 SOUTH MAIN STREET,Kingfisher,OK,73750,Wal-Mart,35.856216,-97.93743,2,1,1976
152,12/1/76,10/27/04,1,29,99,12862 STATE ROAD 21,De Soto,MO,63020,Supercenter,38.120303,-90.55426,12,1,1976
153,10/1/76,3/1/94,1,28,145,202 PARK PLAZA,New Albany,MS,38652,Supercenter,34.489085,-88.99973,10,1,1976
133,5/1/76,,,5,81,1040 S CONSTITUTION,Ashdown,AR,71822,Wal-Mart,33.675597,-94.13465,5,1,1976
115,9/1/76,,,28,25,1445 HWY 45 NORTH,West Point,MS,39773,Wal-Mart,33.619058,-88.64686,9,1,1976
134,8/1/76,,,40,9,3105 WEST 3RD,Elk City,OK,73644,Wal-Mart,35.405935,-99.41658,8,1,1976
135,4/1/76,10/27/04,1,29,117,1000 GRAVES ST.,Chillicothe,MO,64601,Supercenter,39.790132,-93.54803,4,1,1976
119,3/1/76,3/1/94,1,5,63,3150 HARRISON STREET,Batesville,AR,72501,Supercenter,35.78108,-91.63835,3,1,1976
161,5/1/77,2/20/02,1,47,17,180 VETERANS DRIVE N,Huntingdon,TN,38344,Supercenter,35.995802,-88.41385,5,1,1977
138,11/1/77,,,29,77,1923 EAST KEARNEY,Springfield,MO,65803,Wal-Mart,37.257053,-93.29015,11,1,1977
149,3/1/77,3/1/00,1,22,49,184 OLD WINFIELD RD,Jonesboro,LA,71251,Supercenter,32.229884,-92.69763,3,1,1977
151,3/1/77,3/1/94,1,40,121,432 SOUTH GEORGE NIGH EXWY,McAlester,OK,74501,Supercenter,34.944399,-95.75709,3,1,1977
155,8/1/77,3/1/94,1,28,137,5219 HWY 51 NORTH,Senatobia,MS,38668,Supercenter,34.607602,-89.94635,8,1,1977
156,1/1/77,,,29,155,STATE HWY 84 WEST,Caruthersville,MO,63830,Wal-Mart,36.174029,-89.67548,1,1,1977
157,1/1/77,3/1/94,1,5,145,3509 EAST RACE AVENUE,Searcy,AR,72143,Supercenter,35.239022,-91.73776,1,1,1977
158,5/1/77,3/1/97,1,48,147,2021 NORTH HWY 121,Bonham,TX,75418,Supercenter,33.583772,-96.1818,5,1,1977
