Year,School,Seed,Conference,Conf. W,Conf. L,Conf. %,Conf. place,Reg. W,Reg. L,Reg. %,How qual,1st game at home?,Tourney W,Tourney L,Tourney finish,Full W,Full L,Full %
1982,Tennessee,2,Southeastern,-,-,-,-,19,9,67.9,at-large,Y,3,1,NSF,22,10,68.8
1982,Tennessee Tech,8,Ohio Valley,10,2,83.3,1st,20,10,66.7,auto,N,0,1,1st,20,11,64.5
1983,Arizona St.,4,Western Collegiate,9,5,64.3,3rd,22,6,78.6,at-large,Y,1,1,RSF,23,7,76.7
1983,Auburn,5,Southeastern,6,2,75,T1st W,23,7,76.7,at-large,Y,1,1,RSF,24,8,75
1983,Central Mich.,6,Mid-American,-,-,-,-,20,8,71.4,auto,N,0,1,1st,20,9,69
1983,Cheyney,1,Independent,-,-,-,-,26,2,92.9,at-large,Y,1,1,RSF,27,3,90
1983,Dartmouth,(OR),Ivy,11,1,91.7,1st,18,7,72,at-large,Y,0,1,OR,18,8,69.2
1983,Florida St.,5,Metro,-,-,-,-,24,5,82.8,at-large,N,0,1,1st,24,6,80
1983,Georgia,2,Southeastern,4,4,50,3rd E,24,6,80,auto,Y,3,1,NSF,27,7,79.4
1983,Illinois St.,6,Missouri Valley,-,-,-,-,20,9,69,auto,N,0,1,1st,20,10,66.7
1983,Indiana,6,Big Ten,-,-,-,-,18,10,64.3,at-large,N,1,1,RSF,19,11,63.3
1983,Jackson St.,(OR),Southwestern,-,-,-,-,21,7,75,at-large,Y,0,1,OR,21,8,72.4
1983,Kansas St.,3,Big Eight,-,-,-,-,24,5,82.8,at-large,Y,1,1,RSF,25,6,80.6
1983,Kentucky,3,Southeastern,6,2,75,2nd E,23,4,85.2,at-large,Y,0,1,1st,23,5,82.1
1983,La Salle,(OR),East Coast,-,-,-,-,16,12,57.1,at-large,Y,0,1,OR,16,13,55.2
1983,La.-Monroe,(OR),Southland,-,-,-,-,21,5,80.8,at-large,Y,1,1,1st,22,6,78.6
1983,Long Beach St.,2,Independent,-,-,-,-,22,6,78.6,at-large,Y,2,1,RF,24,7,77.4
1983,Louisiana Tech,1,Independent,-,-,-,-,27,1,96.4,at-large,Y,4,1,N2nd,31,2,93.9
1983,Louisville,7,Metro,-,-,-,-,20,9,69,auto,N,0,1,1st,20,10,66.7
1983,Maryland,3,Atlantic Coast,10,3,76.9,T2nd,25,4,86.2,auto,Y,1,1,RSF,26,5,83.9
1983,Middle Tenn.,(OR),Ohio Valley,10,0,100,1st,25,4,86.2,at-large,N,1,1,1st,26,5,83.9
