title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Callas Forever,http://www.imdb.com/title/tt0274407/,UK,2002,$446K,Franco Zeffirelli,1,Maria Callas,Singer,Known,Mediterranean,0,Female,Fanny Ardant
Cannibal! The Musical,http://www.imdb.com/title/tt0115819/,US,1993,-,Trey Parker,1,Alferd Packer,Criminal,Unknown,,0,Male,Trey Parker
Capone,http://www.imdb.com/title/tt0072761/,US,1975,-,Steve Carver,1,Al Capone,Criminal,Known,White,0,Male,Ben Gazzara
Capote,http://www.imdb.com/title/tt0379725/,US/Canada,2005,$28.7M,Bennett Miller,1,Truman Capote ,Author,Unknown,,0,Male,Philip Seymour Hoffman
Captain Kidd,http://www.imdb.com/title/tt0037576/,US,1945,-,Rowland V. Lee,1,William Kidd,Historical,Known,White,0,Male,Charles Laughton
Captain Phillips,http://www.imdb.com/title/tt1535109/,US,2013,$107M,Paul Greengrass,1,Richard Phillips,Military,Unknown,,0,Male,Tom Hanks
Caravaggio,http://www.imdb.com/title/tt0090798/,UK,1986,$3.15K,Derek Jarman,1,Michelangelo Merisi de Caravaggio,Artist,Known,White,0,Male,Multiple
Carbine Williams,http://www.imdb.com/title/tt0044480/,US,1952,-,Richard Thorpe,1,David Marshall Williams,Other,Unknown,,0,Male,James Stewart
Carrington,http://www.imdb.com/title/tt0112637/,UK,1995,$3.24M,Christopher Hampton,2,Lytton Strachey,Author,Known,White,0,Male,Jonathan Pryce
Carrington,http://www.imdb.com/title/tt0112637/,UK,1995,$3.24M,Christopher Hampton,2,Dora Carrington,Artist,Known,White,0,Female,Emma Thompson
Carve Her Name with Pride,http://www.imdb.com/title/tt0051454/,UK,1958,-,Lewis Gilbert,1,Violette Bushell Szabo,Military,Known,White,0,Female,Virginia McKenna
