Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",291.13,35.203144,0.0037,8.27,195.07,317.4,4275929874432,159975997440,9.471714,40.10055,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials,Semiconductor Materials & Equipment,567.25,53.463715,0.0037,10.61,154.47,569.95,450373484544,9274999808,15.517279,18.836754,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv,Automotive Parts & Equipment,68.05,40.505955,,1.68,51.68,88.93,14400777216,3184999936,0.6970704,1.5650874,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ACGL,Arch Capital Group,Property & Casualty Insurance,91.66,7.0507693,,13.0,82.45,103.39,32025051136,5896999936,1.6193079,1.3793,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACGL
ADM,Archer Daniels Midland,Agricultural Products & Services,80.24,35.821426,0.0259,2.24,51.34,85.37,38672191488,2539000064,0.47989914,1.6960114,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ANET,Arista Networks,Communications Equipment,163.24,56.096222,,2.91,85.58,179.8,205546815488,4237199872,21.168789,15.240407,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,218.69,35.329563,0.0128,6.19,190.75,327.34,56190648320,3960000000,3.9576454,2.3630412,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ,Assurant,Multi-line Insurance,260.99,13.370389,0.0135,19.52,183.39,261.1,12931436544,1638899968,0.9826021,2.2086911,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T,Integrated Telecommunication Services,23.58,7.756579,0.0471,3.04,22.32,29.79,163841818624,44411998208,1.2949057,1.4976183,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ATO,Atmos Energy,Gas Utilities,169.96,20.931036,0.0235,8.12,149.98,192.51,28369694720,2540303104,5.811984,1.9028853,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATO
ADSK,Autodesk,Application Software,198.43,28.967882,,6.85,194.47,329.09,41897549824,2139000064,5.581131,13.128886,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Human Resource & Employment Services,226.21,21.101679,0.0301,10.72,188.16,315.98,90423894016,6339899904,4.186214,14.271025,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO,AutoZone,Automotive Retail,3116.3,21.413454,,145.53,2928.11,4388.11,51010715648,4263984896,2.552271,-18.319216,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB,AvalonBay Communities,Multi-Family Residential REITs,187.03,23.204714,0.0381,8.06,160.1,209.86,26534332416,1846126976,8.671181,2.2611103,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,159.25,17.913385,0.0251,8.89,152.42,199.54,12181093376,1443000064,1.3525982,5.306918,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
AXON,Axon Enterprise,Aerospace & Defense,441.73,178.83806,,2.47,339.01,885.92,35604357120,102861000,11.934763,10.070675,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXON
BKR,Baker Hughes,Oil & Gas Equipment & Services,63.14,20.172523,0.0146,3.13,37.38,70.41,62639214592,4821000192,2.2456965,3.2422717,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKR
BALL,Ball Corporation,"Metal, Glass & Plastic Containers",56.98,16.612244,0.014,3.43,44.83,68.29,15170725888,2052999936,1.110026,2.7083037,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BALL
BAC,Bank of America,Diversified Banks,56.02,13.9007435,0.02,4.03,44.06,57.55,397551009792,,3.6276212,1.448893,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX,Baxter International,Health Care Equipment,20.86,,0.0096,-1.91,15.73,31.76,10773543936,1908999936,0.95172644,1.7827536,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BDX,Becton Dickinson,Health Care Equipment,146.24,25.521816,0.0287,5.73,127.58648,187.35,40295030784,6157000192,1.8128867,1.6697115,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY,Best Buy,Computer & Electronics Retail,78.53,14.542592,0.0489,5.4,55.1,84.99,16551541760,2617999872,0.3954023,5.367004,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
TECH,Bio-Techne,Life Sciences Tools & Services,54.0,77.14286,0.0059,0.7,43.2,72.16,8454712832,366044992,6.9826856,4.185722,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TECH
