taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
31703,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon congregatum,(King) B.Xue &amp; R.M.K.Saunders,,,,LC,
31704,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon cupulare,(King) B.Xue &amp; R.M.K.Saunders,,,,VU,
31705,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon macranthum,(King) B.Xue &amp; R.M.K.Saunders,,,,NT,
31706,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Monoon,Monoon praestigiosum,(J.Sinclair) B.Xue &amp; R.M.K.Saunders,,,,VU,
31707,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus calycinus,J.Sinclair,,,,DD,
31708,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus curtisii,King,,,,LC,
31709,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus holttumii,J.Sinclair,,,,DD,
31710,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus montanus,J.Sinclair,,,,VU,
31711,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Goniothalamus,Goniothalamus tenuifolius,King,,,,LC,
31712,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Mezzettia,Mezzettia herveyana,Oliver,,,,CR,
31713,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Miliusa,Miliusa amplexicaulis,Ridl.,,,,VU,
