tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,tourney_year_id
1891,1,Wimbledon,540,wimbledon,"London, Great Britain",1891.06.29,6,29,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1891/results,Wilfred Baddeley,/en/players/wilfred-baddeley/bs64/overview,wilfred-baddeley,bs64,,,,,1891-540
1891,2,US Championships,560,us-open,"Newport, United States",1891.08.18,8,18,65,65,Outdoor,Grass,,/en/scores/archive/us-open/560/1891/results,Clarence Hobart,/en/players/clarence-hobart/hf74/overview,clarence-hobart,hf74,,,,,1891-560
1892,1,Wimbledon,540,wimbledon,"London, Great Britain",1892.06.27,6,27,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1892/results,Wilfred Baddeley,/en/players/wilfred-baddeley/bs64/overview,wilfred-baddeley,bs64,,,,,1892-540
1892,2,US Championships,560,us-open,"Newport, United States",1892.08.23,8,23,65,65,Outdoor,Grass,,/en/scores/archive/us-open/560/1892/results,Frederick Hovey,/en/players/frederick-hovey/hg25/overview,frederick-hovey,hg25,,,,,1892-560
1893,1,Wimbledon,540,wimbledon,"London, Great Britain",1893.07.10,7,10,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1893/results,Joshua Pim,/en/players/joshua-pim/pl13/overview,joshua-pim,pl13,,,,,1893-540
1893,2,US Championships,560,us-open,"Newport, United States",1893.08.22,8,22,65,65,Outdoor,Grass,,/en/scores/archive/us-open/560/1893/results,Robert Wrenn,/en/players/robert-wrenn/wa41/overview,robert-wrenn,wa41,,,,,1893-560
1894,1,Wimbledon,540,wimbledon,"London, Great Britain",1894.07.09,7,9,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1894/results,Joshua Pim,/en/players/joshua-pim/pl13/overview,joshua-pim,pl13,,,,,1894-540
1894,2,US Championships,560,us-open,"Newport, United States",1894.08.20,8,20,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1894/results,Manliffe Goodbody,/en/players/manliffe-goodbody/gi79/overview,manliffe-goodbody,gi79,,,,,1894-560
1895,1,Wimbledon,540,wimbledon,"London, Great Britain",1895.07.08,7,8,32,32,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1895/results,Wilfred Baddeley,/en/players/wilfred-baddeley/bs64/overview,wilfred-baddeley,bs64,,,,,1895-540
1895,2,US Championships,560,us-open,"Newport, United States",1895.08.20,8,20,65,65,Outdoor,Grass,,/en/scores/archive/us-open/560/1895/results,Frederick Hovey,/en/players/frederick-hovey/hg25/overview,frederick-hovey,hg25,,,,,1895-560
1896,1,Wimbledon,540,wimbledon,"London, Great Britain",1896.07.13,7,13,33,33,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1896/results,Harold Mahony,/en/players/harold-mahony/mu14/overview,harold-mahony,mu14,,,,,1896-540
1896,2,US Championships,560,us-open,"Newport, United States",1896.08.17,8,17,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1896/results,Robert Wrenn,/en/players/robert-wrenn/wa41/overview,robert-wrenn,wa41,,,,,1896-560
1897,1,Wimbledon,540,wimbledon,"London, Great Britain",1897.06.21,6,21,33,33,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1897/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,,,,,1897-540
1897,2,US Championships,560,us-open,"Newport, United States",1897.08.18,8,18,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1897/results,Wilberforce Eaves,/en/players/wilberforce-eaves/e973/overview,wilberforce-eaves,e973,,,,,1897-560
1898,1,Wimbledon,540,wimbledon,"London, Great Britain",1898.06.20,6,20,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1898/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,,,,,1898-540
1898,2,US Championships,560,us-open,"Newport, United States",1898.08.15,8,15,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1898/results,Malcolm Whitman,/en/players/malcolm-whitman/w955/overview,malcolm-whitman,w955,,,,,1898-560
1899,1,Wimbledon,540,wimbledon,"London, Great Britain",1899.06.19,6,19,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1899/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,,,,,1899-540
1899,2,US Championships,560,us-open,"Newport, United States",1899.08.15,8,15,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1899/results,J. Parmly Paret,/en/players/j-parmly-paret/pl06/overview,j-parmly-paret,pl06,,,,,1899-560
1900,1,Wimbledon,540,wimbledon,"London, Great Britain",1900.06.25,6,25,33,33,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1900/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,,,,,1900-540
1900,2,US Championships,560,us-open,"Newport, United States",1900.08.14,8,14,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1900/results,William Larned,/en/players/william-larned/lg45/overview,william-larned,lg45,,,,,1900-560
1901,1,Wimbledon,540,wimbledon,"London, Great Britain",1901.06.24,6,24,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1901/results,Arthur Gore,/en/players/arthur-gore/gh85/overview,arthur-gore,gh85,,,,,1901-540
1901,2,US Championships,560,us-open,"Newport, United States",1901.08.13,8,13,33,33,Outdoor,Grass,,/en/scores/archive/us-open/560/1901/results,William Larned,/en/players/william-larned/lg45/overview,william-larned,lg45,,,,,1901-560
1902,1,Wimbledon,540,wimbledon,"London, Great Britain",1902.06.23,6,23,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1902/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,,,,,1902-540
1902,2,US Championships,560,us-open,"Newport, United States",1902.08.18,8,18,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1902/results,Reggie Doherty,/en/players/reggie-doherty/dg13/overview,reggie-doherty,dg13,,,,,1902-560
1903,1,Wimbledon,540,wimbledon,"London, Great Britain",1903.06.23,6,23,64,64,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1903/results,Laurence Doherty,/en/players/laurence-doherty/dg02/overview,laurence-doherty,dg02,,,,,1903-540
