Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_25pct_yields,species_losing_more_25pct_combined
Dominica,2050,254,-4.209566225,3.108150137,0.718160714,-1.929197508,-4.426140738,-2.331714136,3,0.360434538,1.075030804,0.996327691,0.643695606,0.163045224,0.669582194,239,-4.257401052,2.93074397,0.561344151,-1.971068963,-4.448742766,-2.397007202,12,-4.39935612,7.14976947,3.771882185,-1.738480968,-5.123280161,-1.781618001,,,,,,,,,,,,,,,,
Dominican Republic,2050,340,-6.161152786,5.008686066,0.983143651,-3.338164856,-6.422605996,-3.607535093,31,-14.74413375,7.440324326,-4.286061831,-12.21447361,-15.22596011,-8.099856521,295,-5.08639971,4.504895173,1.344118216,-2.313454119,-5.325817336,-3.070936972,14,-9.802563308,10.23993803,5.044420325,-5.275600283,-10.04036865,-4.96714091,866.195415,-3794.514446,-3006.193059,362.891559,-12.709916,866.195415,,10.07783134,-44.14763221,-34.97583351,4.222095687,-0.147874703,10.07783134,,,
Ecuador,2050,2299,-1.882367053,2.098420612,0.690025878,-0.521717247,-1.980509791,-0.364016063,296,-0.732550998,3.544739049,1.490312327,1.346156543,-0.822800569,0.989965311,1683,-2.009942116,1.678342663,0.450966028,-0.844081756,-2.096328949,-0.630300049,320,-2.274981809,2.969923521,1.20706631,-0.554064664,-2.442254438,-0.215961497,1226.09218,-8228.647,-2462.80292,-1776.78745,-4722.80349,1226.09218,,4.744046008,-31.83861751,-9.529177782,-6.874818669,-18.27366442,4.744046008,,,
Egypt,2050,582,-3.699877003,3.004220976,-1.297906227,-1.898019888,-3.476911809,0.890253867,4,0.07033434,1.157471265,0.268638432,0.484912698,-0.42005578,1.115391904,480,-3.185208886,3.304814314,-0.637435037,-1.392130735,-3.021584966,1.106246835,98,-6.374586612,1.607304614,-4.596807756,-4.473106862,-5.831853731,-0.176860181,56627.1569,1005.85815,41078.67242,22464.02829,40673.75919,65410.5726,,111.4552353,1.979759587,80.85225093,44.21436101,80.0552888,128.7430123,,,
El Salvador,2050,676,-4.620580211,3.860428415,1.28958253,-2.39685404,-5.0549215,-1.380695537,27,-10.31336018,8.428538868,2.66527387,-6.763723168,-12.04882461,-1.062029865,512,-3.932719229,3.359283885,1.112457136,-1.846531483,-4.238416485,-1.47311117,137,-6.069337609,4.83303438,1.680418556,-3.592910119,-6.728025033,-1.098120126,2089.065309,-2300.25781,-2007.703802,2089.065323,1328.501948,2864.301522,,28.25647541,-31.11304273,-27.15598831,28.25647559,17.96917619,38.74223805,,,
Equatorial Guinea,2050,682,-9.01666349,0.910541644,-5.719581935,-6.443172095,-6.78690687,-0.375521166,59,-10.91020654,0.718563508,-6.388405924,-7.542694878,-8.033108391,-0.985365678,465,-7.075170986,0.883610367,-4.550132191,-5.156628492,-5.500997159,-0.254806157,158,-14.02346713,1.061489454,-8.911566211,-9.818937485,-10.10603425,-0.503063276,1545.564835,-155.725898,921.079043,147.439204,1161.040001,1291.770443,63,163.7736137,-16.50127674,97.60085112,15.62318881,123.027978,136.8806463,,,
Eritrea,2050,682,-10.96380147,3.07262383,-8.94625383,-8.194611635,-8.734886932,0.718020988,9,-10.1446666,2.405223999,-10.71557451,-7.826623035,-6.607349712,1.180626493,565,-9.822972826,2.993796753,-7.840396493,-7.293786199,-7.914607841,0.71438934,108,-17.00028662,3.540622876,-14.58408262,-12.93792894,-13.20345658,0.698469429,7009.322852,2299.632735,15582.4922,-355.366667,5359.326252,8050.878442,144,122.3171016,40.13004063,271.9243102,-6.201372318,93.52362095,140.4929031,,,
Estonia,2050,356,-0.036900807,5.822605362,3.263326352,2.007264016,-0.625849399,2.518831993,6,0.711517577,3.702756624,2.87493845,2.020442066,-0.039765452,1.291378094,287,-0.733262926,5.12222432,2.315330097,1.195264571,-1.115088539,2.084271511,63,3.064137575,9.215120467,7.618965285,5.705117546,1.547089161,4.615396784,-5324.10359,-10957.53723,-9558.68192,-8088.38903,-7692.68187,-3993.62044,,-24.65103317,-50.73428966,-44.25747567,-37.44989986,-35.61774348,-18.49078784,,,
Eswatini,2050,669,-9.912902952,3.29870256,-6.244990031,-7.488222082,-7.975380234,1.039009496,36,-5.486603903,2.308928827,-2.892128275,-4.122925079,-4.604600119,0.899595651,504,-8.961625299,3.000791479,-5.679412756,-6.734411943,-7.23568064,0.890772744,129,-14.86476886,4.73885015,-9.39036964,-11.37249342,-11.80605217,1.657073226,,,,,,,95,,,,,,,,,
Ethiopia,2050,1154,-15.80388911,3.933172851,-13.80377464,-11.97501448,-11.73319505,0.963804696,33,-24.02459056,4.790614123,-26.2575988,-18.08721575,-15.69543512,3.71168575,849,-12.56010529,3.271263735,-10.49676475,-9.401287455,-9.45079449,0.693210239,272,-24.93142336,5.895177546,-22.61508049,-19.26689536,-18.37659267,1.475034913,133500.7718,-25690.2934,178079.911,-24490.8887,92881.9528,78840.5391,341,95.49384845,-18.3764105,127.381556,-17.51846961,66.43898013,56.39507841,,,
